news_headline,news_article,news_category,full_text
It seemed that India didn't have a plan or a plan B vs NZ: Hogg,"Ex-Australia spinner Brad Hogg has said India didn't seem to have a ""plan or a plan B"" during their defeat against New Zealand in the T20 World Cup. ""India...rely on the top three to play long and that's why I was disappointed that they suddenly changed their top order,"" he added. India will next face Afghanistan on November 3. ",sports,"It seemed that India didn't have a plan or a plan B vs NZ: Hogg. Ex-Australia spinner Brad Hogg has said India didn't seem to have a ""plan or a plan B"" during their defeat against New Zealand in the T20 World Cup. ""India...rely on the top three to play long and that's why I was disappointed that they suddenly changed their top order,"" he added. India will next face Afghanistan on November 3. "
Afghanistan cricket is in very safe hands: Asghar after retirement,"After retiring from all formats of cricket in between T20 World Cup 2021, Asghar Afghan said that Afghanistan's cricket is in ""safe hands"" and their cricket will ""definitely improve"". ""I believe that Afghanistan cricket will improve more day by day, and trust me that will show,"" he said. Afghanistan's match against Namibia was Asghar's last. Asghar scored 4,246 international runs.",sports,"Afghanistan cricket is in very safe hands: Asghar after retirement. After retiring from all formats of cricket in between T20 World Cup 2021, Asghar Afghan said that Afghanistan's cricket is in ""safe hands"" and their cricket will ""definitely improve"". ""I believe that Afghanistan cricket will improve more day by day, and trust me that will show,"" he said. Afghanistan's match against Namibia was Asghar's last. Asghar scored 4,246 international runs."
"Not just Kohli, whole team and coaches have failed in T20 WC: Azharuddin","Commenting on India skipper Virat Kohli facing criticism after his side's second straight defeat in T20 World Cup, ex-India skipper Mohammed Azharuddin said, ""Kohli is facing criticism but it's the entire team and...coaches that have failed and not just one man."" He added, ""It turned out to be a scary Halloween for Indian fans."" New Zealand defeated India on Sunday.",sports,"Not just Kohli, whole team and coaches have failed in T20 WC: Azharuddin. Commenting on India skipper Virat Kohli facing criticism after his side's second straight defeat in T20 World Cup, ex-India skipper Mohammed Azharuddin said, ""Kohli is facing criticism but it's the entire team and...coaches that have failed and not just one man."" He added, ""It turned out to be a scary Halloween for Indian fans."" New Zealand defeated India on Sunday."
I was pleased as a fan: Nasser as England defend total after losing toss,"Ex-England captain Nasser Hussain has said he was ""pleased as a fan"" after England defended their 163-run total against Sri Lanka after losing the toss at the Sharjah Cricket Stadium. ""Everything they needed ticking for the challenges ahead, they've got out of [their match against SL],"" Nasser stated. ""It's proof that...you can win even with a wet ball,"" he added. ",sports,"I was pleased as a fan: Nasser as England defend total after losing toss. Ex-England captain Nasser Hussain has said he was ""pleased as a fan"" after England defended their 163-run total against Sri Lanka after losing the toss at the Sharjah Cricket Stadium. ""Everything they needed ticking for the challenges ahead, they've got out of [their match against SL],"" Nasser stated. ""It's proof that...you can win even with a wet ball,"" he added. "
I've noticed that leg-spinners are being successful against India: Tendulkar,"Talking about India's performance in the T20 World Cup, Sachin Tendulkar said Virat Kohli-led side is facing difficulty in tackling leg-spinners. ""Leg-spinners, who are mixing their deliveries, bowling googlies, top-spin, flipper, and normal leg-spin, have been successful in the recent past against India,"" he stated. NZ leg-spinner Ish Sodhi was named 'Man of the Match' against India.",sports,"I've noticed that leg-spinners are being successful against India: Tendulkar. Talking about India's performance in the T20 World Cup, Sachin Tendulkar said Virat Kohli-led side is facing difficulty in tackling leg-spinners. ""Leg-spinners, who are mixing their deliveries, bowling googlies, top-spin, flipper, and normal leg-spin, have been successful in the recent past against India,"" he stated. NZ leg-spinner Ish Sodhi was named 'Man of the Match' against India."
England's Chris Woakes is underrated in T20 cricket: Ajit Agarkar,"Ajit Agarkar has opined that Chris Woakes is ""underrated"" in T20 cricket because of the ""stars"" the England team have. ""Woakes is a handful...and he picks wickets,"" Agarkar said. He added Woakes doesn't look ""threatening"" but does take ""a lot of"" wickets. Woakes scalped four wickets in three matches in the ongoing T20 World Cup with an economy of 4.7.",sports,"England's Chris Woakes is underrated in T20 cricket: Ajit Agarkar. Ajit Agarkar has opined that Chris Woakes is ""underrated"" in T20 cricket because of the ""stars"" the England team have. ""Woakes is a handful...and he picks wickets,"" Agarkar said. He added Woakes doesn't look ""threatening"" but does take ""a lot of"" wickets. Woakes scalped four wickets in three matches in the ongoing T20 World Cup with an economy of 4.7."
England was under pressure for long part in SL's chase: Buttler,"Following England's 26-run win against Sri Lanka in T20 World Cup, England wicketkeeper-batter Jos Buttler said that his side was under pressure during Sri Lanka's 164-run chase in second innings. ""Moeen Ali had to bowl that over after Tymal Mills left the field due to injury so to take that wicket (Dasun Shanaka's run-out) was crucial,"" he added.",sports,"England was under pressure for long part in SL's chase: Buttler. Following England's 26-run win against Sri Lanka in T20 World Cup, England wicketkeeper-batter Jos Buttler said that his side was under pressure during Sri Lanka's 164-run chase in second innings. ""Moeen Ali had to bowl that over after Tymal Mills left the field due to injury so to take that wicket (Dasun Shanaka's run-out) was crucial,"" he added."
It's fundamentally wrong: Aakash on India's batting order change vs NZ,"Commentator Aakash Chopra said India's decision to change their set batting order (1,2,3) against New Zealand after just one loss in T20 World Cup was fundamentally wrong. India played Ishan Kishan as an opener instead of Rohit Sharma. ""In order to play the left-right combination, you made your biggest match-winner come down in the order,"" he added. ",sports,"It's fundamentally wrong: Aakash on India's batting order change vs NZ. Commentator Aakash Chopra said India's decision to change their set batting order (1,2,3) against New Zealand after just one loss in T20 World Cup was fundamentally wrong. India played Ishan Kishan as an opener instead of Rohit Sharma. ""In order to play the left-right combination, you made your biggest match-winner come down in the order,"" he added. "
India standing next to exit door in T20 WC: Aakash after loss vs NZ,"Aakash Chopra said India are close to being knocked out of the T20 World Cup after suffering a defeat against New Zealand. ""India have been handed two defeats in two matches and it means we are standing next to the exit door,"" he said. Aakash added that Team India have a ""very little chance"" of going ahead in the tournament.    ",sports,"India standing next to exit door in T20 WC: Aakash after loss vs NZ. Aakash Chopra said India are close to being knocked out of the T20 World Cup after suffering a defeat against New Zealand. ""India have been handed two defeats in two matches and it means we are standing next to the exit door,"" he said. Aakash added that Team India have a ""very little chance"" of going ahead in the tournament.    "
"India think IPL is enough, they're not taking international series seriously: Akram","Former Pakistan captain Wasim Akram said Team India are not taking international series seriously, thinking IPL is enough. ""India last played a limited-overs series with all the senior players in March. Now we are in November,"" he added. Akram further said that India's ""biggest mess-up"" against New Zealand was downgrading Rohit Sharma to the number three position. ",sports,"India think IPL is enough, they're not taking international series seriously: Akram. Former Pakistan captain Wasim Akram said Team India are not taking international series seriously, thinking IPL is enough. ""India last played a limited-overs series with all the senior players in March. Now we are in November,"" he added. Akram further said that India's ""biggest mess-up"" against New Zealand was downgrading Rohit Sharma to the number three position. "
India's win at the Gabba will give confidence to our squad: Joe Root,"Ahead of the Ashes 2021, England skipper Joe Root said India's win against Australia at the Gabba would give players in his squad ""a huge amount of confidence"". ""India were a long way from their first-choice XI, but they had no fear,"" he said. In January, India ended Australia's 32-year unbeaten streak in Test cricket at the Gabba.",sports,"India's win at the Gabba will give confidence to our squad: Joe Root. Ahead of the Ashes 2021, England skipper Joe Root said India's win against Australia at the Gabba would give players in his squad ""a huge amount of confidence"". ""India were a long way from their first-choice XI, but they had no fear,"" he said. In January, India ended Australia's 32-year unbeaten streak in Test cricket at the Gabba."
"Mental fatigue is real, high time BCCI looks into scheduling: Srikkanth","Following Jasprit Bumrah's comments on bubble fatigue after India's loss against New Zealand in T20 World Cup 2021, ex-captain Kris Srikkanth said mental fatigue is a real thing and added BCCI should reconsider the scheduling for the team. ""I back the Indian players and it's high time we take care of them!"" he added. India have lost two consecutive matches.",sports,"Mental fatigue is real, high time BCCI looks into scheduling: Srikkanth. Following Jasprit Bumrah's comments on bubble fatigue after India's loss against New Zealand in T20 World Cup 2021, ex-captain Kris Srikkanth said mental fatigue is a real thing and added BCCI should reconsider the scheduling for the team. ""I back the Indian players and it's high time we take care of them!"" he added. India have lost two consecutive matches."
"Barcelona's Aguero, who suffered chest pain during match, ruled out for 3 months","Barcelona striker Sergio Aguero, who was hospitalised after suffering chest pain during their 1-1 draw against Alaves, has been ruled out for three months after a cardiac exam. ""Aguero has undergone a diagnostic and therapeutic procedure...Over the next three months the effectiveness of the treatment will be evaluated,"" the club said. Barcelona are placed ninth in La Liga points table.",sports,"Barcelona's Aguero, who suffered chest pain during match, ruled out for 3 months. Barcelona striker Sergio Aguero, who was hospitalised after suffering chest pain during their 1-1 draw against Alaves, has been ruled out for three months after a cardiac exam. ""Aguero has undergone a diagnostic and therapeutic procedure...Over the next three months the effectiveness of the treatment will be evaluated,"" the club said. Barcelona are placed ninth in La Liga points table."
Tom Hanks makes surprise visit at couple's wedding in US; pics surface,"Actor Tom Hanks made a sudden appearance at a same-sex couple's beach wedding in California recently. A video of the incident being shared online showed Hanks congratulating the couple, Diciembre and Tashia Farries, at their ceremony. Tashia, who shared photos of the same on Instagram, wrote, ""Thank you Tom Hanks for spicing up our beautiful and amazing day!""
",world,"Tom Hanks makes surprise visit at couple's wedding in US; pics surface. Actor Tom Hanks made a sudden appearance at a same-sex couple's beach wedding in California recently. A video of the incident being shared online showed Hanks congratulating the couple, Diciembre and Tashia Farries, at their ceremony. Tashia, who shared photos of the same on Instagram, wrote, ""Thank you Tom Hanks for spicing up our beautiful and amazing day!""
"
5 more nations recognise India's COVID-19 vaccination certificate,"Five more countries have recognised India's COVID-19 vaccination certificate, the Ministry of External Affairs said on Monday. Estonia, Kyrgyzstan, State of Palestine, Mauritius and Mongolia have been added to the list of countries that recognise India's vaccination document, MEA spokesperson Arindam Bagchi said. Earlier, Hungary and Serbia had also accredited the Indian vaccination certificate.",world,"5 more nations recognise India's COVID-19 vaccination certificate. Five more countries have recognised India's COVID-19 vaccination certificate, the Ministry of External Affairs said on Monday. Estonia, Kyrgyzstan, State of Palestine, Mauritius and Mongolia have been added to the list of countries that recognise India's vaccination document, MEA spokesperson Arindam Bagchi said. Earlier, Hungary and Serbia had also accredited the Indian vaccination certificate."
Stock daily necessities: China to families after COVID-19 outbreak & heavy rains,China has told families to keep daily necessities in stock in case of emergencies. The directive comes after a COVID-19 outbreak in China and unusually heavy rains that caused a surge in vegetable prices raised concerns about supply shortages. Newspaper Economic Daily said the directive's purpose was to make sure citizens weren't caught off guard in case of a lockdown.,world,Stock daily necessities: China to families after COVID-19 outbreak & heavy rains. China has told families to keep daily necessities in stock in case of emergencies. The directive comes after a COVID-19 outbreak in China and unusually heavy rains that caused a surge in vegetable prices raised concerns about supply shortages. Newspaper Economic Daily said the directive's purpose was to make sure citizens weren't caught off guard in case of a lockdown.
"Singapore may see 2,000 COVID-19 deaths per year: Singapore Minister","Singapore could see 2,000 COVID-19 deaths annually over time, Janil Puthucheary, Senior Minister of State at Singapore's Health Ministry, said. ""The absolute number of deaths from COVID-19 will rise despite the best possible medical care,"" Puthucheary said. ""At 0.2%, Singapore's COVID-19 case fatality rate is similar to the rate of deaths from pneumonia before COVID-19 struck,"" he added.  ",world,"Singapore may see 2,000 COVID-19 deaths per year: Singapore Minister. Singapore could see 2,000 COVID-19 deaths annually over time, Janil Puthucheary, Senior Minister of State at Singapore's Health Ministry, said. ""The absolute number of deaths from COVID-19 will rise despite the best possible medical care,"" Puthucheary said. ""At 0.2%, Singapore's COVID-19 case fatality rate is similar to the rate of deaths from pneumonia before COVID-19 struck,"" he added.  "
It's my duty to raise the voice of developing nations: PM Modi at COP26,"While addressing the COP26 climate summit, PM Narendra Modi said he feels it's his duty to raise the voice of developing countries. ""I'm keeping proposal of one-word movement...This is a word- LIFE...Lifestyle For Environment,"" he said at the summit in Glasgow. ""I believe that decisions taken at this forum will secure the future of our coming generations,"" PM added.",world,"It's my duty to raise the voice of developing nations: PM Modi at COP26. While addressing the COP26 climate summit, PM Narendra Modi said he feels it's his duty to raise the voice of developing countries. ""I'm keeping proposal of one-word movement...This is a word- LIFE...Lifestyle For Environment,"" he said at the summit in Glasgow. ""I believe that decisions taken at this forum will secure the future of our coming generations,"" PM added."
"2 blasts, gunshots heard near Kabul's 400-bed military hospital","At least two explosions followed by gunfire were reported near Afghanistan's biggest military hospital in Kabul, witnesses and Taliban officials said on Tuesday. A Taliban spokesperson said that one of the blasts took place at the entrance of the 400-bed hospital. ""Security forces are deployed to the area, there is no information about casualties,"" he added.",world,"2 blasts, gunshots heard near Kabul's 400-bed military hospital. At least two explosions followed by gunfire were reported near Afghanistan's biggest military hospital in Kabul, witnesses and Taliban officials said on Tuesday. A Taliban spokesperson said that one of the blasts took place at the entrance of the 400-bed hospital. ""Security forces are deployed to the area, there is no information about casualties,"" he added."
"He said global warming is priority, then fell asleep: Trump on Biden's video","After US President Joe Biden was seen sleeping while attending the COP26 climate summit in Glasgow, former President Donald Trump said, ""Biden went to Europe saying Global Warming is his highest priority, and then promptly fell asleep."" ""Nobody that has true enthusiasm and belief in a subject will ever fall asleep,"" Trump added.",world,"He said global warming is priority, then fell asleep: Trump on Biden's video. After US President Joe Biden was seen sleeping while attending the COP26 climate summit in Glasgow, former President Donald Trump said, ""Biden went to Europe saying Global Warming is his highest priority, and then promptly fell asleep."" ""Nobody that has true enthusiasm and belief in a subject will ever fall asleep,"" Trump added."
"US politician seeks to declare Diwali a holiday, to introduce Bill","US lawmaker Carolyn Maloney will introduce a Bill in US Congress, which aims to establish Diwali as a federal holiday in the country. She'll be joined by Congressmen Ro Khanna, Raja Krishnamoorthi and other advocates to introduce her legislation at the Hill. If the Bill gets approval, the holiday would be observed in federal institutions.",world,"US politician seeks to declare Diwali a holiday, to introduce Bill. US lawmaker Carolyn Maloney will introduce a Bill in US Congress, which aims to establish Diwali as a federal holiday in the country. She'll be joined by Congressmen Ro Khanna, Raja Krishnamoorthi and other advocates to introduce her legislation at the Hill. If the Bill gets approval, the holiday would be observed in federal institutions."
22-storey under construction luxury residential building collapses in Lagos; 100 missing,Up to 100 people are missing after a 22-storey under construction luxury residential building collapsed in Nigeria's Lagos on Monday. Witnesses said that construction workers were trapped under a pile of concrete rubble. A body was retrieved and at least three survivors were pulled out on Monday night.,world,22-storey under construction luxury residential building collapses in Lagos; 100 missing. Up to 100 people are missing after a 22-storey under construction luxury residential building collapsed in Nigeria's Lagos on Monday. Witnesses said that construction workers were trapped under a pile of concrete rubble. A body was retrieved and at least three survivors were pulled out on Monday night.
Enough of treating nature like a toilet: UN Secy General at COP26,"United Nations Secretary-General António Guterres during his speech at COP26 urged world leaders to stop ""treating nature like a toilet"". Speaking at Glasgow, he said, ""Enough of brutalising biodiversity, enough of killing ourselves with carbon, enough of treating nature like a toilet, enough of burning, drilling and mining our way deeper. We're digging our own graves.""",world,"Enough of treating nature like a toilet: UN Secy General at COP26. United Nations Secretary-General António Guterres during his speech at COP26 urged world leaders to stop ""treating nature like a toilet"". Speaking at Glasgow, he said, ""Enough of brutalising biodiversity, enough of killing ourselves with carbon, enough of treating nature like a toilet, enough of burning, drilling and mining our way deeper. We're digging our own graves."""
Female Israeli minister unable to attend climate summit due to wheelchair inaccessibility,"The UK government has apologised to Israeli minister Karine Elharrar who could not attend the COP26 climate summit because it was not wheelchair accessible. Elharrar tweeted that it was ""sad"" that the UN ""does not provide accessibility to its events"". UK's Environment Secretary, George Eustice, said the incident was ""deeply regrettable"".",world,"Female Israeli minister unable to attend climate summit due to wheelchair inaccessibility. The UK government has apologised to Israeli minister Karine Elharrar who could not attend the COP26 climate summit because it was not wheelchair accessible. Elharrar tweeted that it was ""sad"" that the UN ""does not provide accessibility to its events"". UK's Environment Secretary, George Eustice, said the incident was ""deeply regrettable""."
US nuclear submarine's mystery collision was with underwater mountain: Investigation,"US nuclear-powered submarine USS Connecticut that struck an underwater object while operating in international waters in the Indo-Pacific region in October had hit an uncharted underwater mountain, an investigation has found. Eleven sailors were injured in the crash, which damaged USS Connecticut's forward ballast tanks. The vessel is currently in Guam undergoing repairs.",world,"US nuclear submarine's mystery collision was with underwater mountain: Investigation. US nuclear-powered submarine USS Connecticut that struck an underwater object while operating in international waters in the Indo-Pacific region in October had hit an uncharted underwater mountain, an investigation has found. Eleven sailors were injured in the crash, which damaged USS Connecticut's forward ballast tanks. The vessel is currently in Guam undergoing repairs."
Man dressed as Joker who injured 17 on Japan train says 'I wanted to kill lots of people',"A 24-year-old man dressed in Batman's Joker costume, who injured 17 people on a train in Japan's Tokyo, told police, ""I wanted to kill lots of people, I wanted the death penalty."" Kyota Hattori, who was carrying a knife, started a fire on a train carriage. He told investigators that ""things weren't going well with work and friends"".",world,"Man dressed as Joker who injured 17 on Japan train says 'I wanted to kill lots of people'. A 24-year-old man dressed in Batman's Joker costume, who injured 17 people on a train in Japan's Tokyo, told police, ""I wanted to kill lots of people, I wanted the death penalty."" Kyota Hattori, who was carrying a knife, started a fire on a train carriage. He told investigators that ""things weren't going well with work and friends""."
Husband of Japan's former Princess Mako fails in New York bar exam: Reports,"Kei Komuro, the husband of Japan's former Princess Mako, has failed his bar exam in New York State, according to reports. Out of the 9,227 people who took the exam, 5,791 candidates cleared it, the reports added. Mako lost her royal status after she married Komuro, who is a commoner, last week.",world,"Husband of Japan's former Princess Mako fails in New York bar exam: Reports. Kei Komuro, the husband of Japan's former Princess Mako, has failed his bar exam in New York State, according to reports. Out of the 9,227 people who took the exam, 5,791 candidates cleared it, the reports added. Mako lost her royal status after she married Komuro, who is a commoner, last week."
US President Biden appears to fall asleep during COP26; video viral,"A video being circulated on social media shows US President Joe Biden apparently asleep during the opening sessions at the COP26 conference in Glasgow. The clip, first shared by a reporter from The Washington Post on his Twitter handle, showed Biden listening to a speech and appearing to close his eyes briefly till he is approached by an aide. ",world,"US President Biden appears to fall asleep during COP26; video viral. A video being circulated on social media shows US President Joe Biden apparently asleep during the opening sessions at the COP26 conference in Glasgow. The clip, first shared by a reporter from The Washington Post on his Twitter handle, showed Biden listening to a speech and appearing to close his eyes briefly till he is approached by an aide. "
Brazil Prez's security agents attack journalists; female reporter says 'brutally treated',"Brazilian reporters were allegedly attacked by President Jair Bolsonaro's security agents while they were covering his trip to Rome for the G20 summit, according to local media. Ana Estela de Sousa, Europe correspondent of the Brazilian daily Folha de S.Paulo said she was ""pushed and brutally treated"" by the officers. ""We are going to file a complaint,"" she said.",world,"Brazil Prez's security agents attack journalists; female reporter says 'brutally treated'. Brazilian reporters were allegedly attacked by President Jair Bolsonaro's security agents while they were covering his trip to Rome for the G20 summit, according to local media. Ana Estela de Sousa, Europe correspondent of the Brazilian daily Folha de S.Paulo said she was ""pushed and brutally treated"" by the officers. ""We are going to file a complaint,"" she said."
US will roll out 15 mn COVID-19 shots to children by next week: WH,"The US will roll out 15 million Pfizer-BioNTech COVID-19 vaccines for children aged 5 to 11 by next week, the White House said. The US had authorised the Pfizer vaccine for this age group on Friday. The federal government has ""secured enough vaccines for all 28 million children aged 5-11"",  White House Coronavirus Response Coordinator Jeff Zients said. ",world,"US will roll out 15 mn COVID-19 shots to children by next week: WH. The US will roll out 15 million Pfizer-BioNTech COVID-19 vaccines for children aged 5 to 11 by next week, the White House said. The US had authorised the Pfizer vaccine for this age group on Friday. The federal government has ""secured enough vaccines for all 28 million children aged 5-11"",  White House Coronavirus Response Coordinator Jeff Zients said. "
Japan to reduce quarantine from 10 to 3 days for business travellers,"Japan's government is planning to reduce COVID-19 quarantine periods for inbound vaccinated business travellers from 10 days to 3, public broadcaster NHK reported on Tuesday. The new measure will come into effect by next Monday, it said. The government also plans to expand the number of daily border entrants from 3,500 people to 5,000 later this month, NHK added. ",world,"Japan to reduce quarantine from 10 to 3 days for business travellers. Japan's government is planning to reduce COVID-19 quarantine periods for inbound vaccinated business travellers from 10 days to 3, public broadcaster NHK reported on Tuesday. The new measure will come into effect by next Monday, it said. The government also plans to expand the number of daily border entrants from 3,500 people to 5,000 later this month, NHK added. "
Over 100 world leaders pledge to end deforestation by 2030 at COP26,"More than 100 world leaders at the COP26 climate summit have pledged to end and reverse deforestation and land degradation by 2030. The pledge was backed by the leaders of countries, including Brazil, Indonesia, and Russia, which cover about 85% of the world's forests. Deforestation contributes to climate change as it depletes forests that absorb vast amounts of carbon dioxide.  ",world,"Over 100 world leaders pledge to end deforestation by 2030 at COP26. More than 100 world leaders at the COP26 climate summit have pledged to end and reverse deforestation and land degradation by 2030. The pledge was backed by the leaders of countries, including Brazil, Indonesia, and Russia, which cover about 85% of the world's forests. Deforestation contributes to climate change as it depletes forests that absorb vast amounts of carbon dioxide.  "
Iran's Foreign Minister tests positive for COVID-19,"Iranian Foreign Minister Hossein Amirabdollahian has tested positive for COVID-19. ""He is in good condition and is working from quarantine,"" Foreign Ministry's Spokesperson Saeed Khatibzadeh said on Monday, adding that the minister's agenda of visits had changed. Amirabdollahian is scheduled to visit India by November-end to attend a meeting at the Indo-Iranian Joint Economic Commission.",world,"Iran's Foreign Minister tests positive for COVID-19. Iranian Foreign Minister Hossein Amirabdollahian has tested positive for COVID-19. ""He is in good condition and is working from quarantine,"" Foreign Ministry's Spokesperson Saeed Khatibzadeh said on Monday, adding that the minister's agenda of visits had changed. Amirabdollahian is scheduled to visit India by November-end to attend a meeting at the Indo-Iranian Joint Economic Commission."
China sent nearly 200 aircraft towards Taiwan in Oct: Report,"China had sent nearly 200 military aircraft towards Taiwan for exercises in October, Taipei-based news website ettoday.net said. Eight Chinese military planes had entered Taiwan's air defence zone on October 31, bringing the Chinese aircraft activity tally in October to 196, the report stated. China has reportedly sent over 680 aircraft into Taiwan's air defence zone so far this year. ",world,"China sent nearly 200 aircraft towards Taiwan in Oct: Report. China had sent nearly 200 military aircraft towards Taiwan for exercises in October, Taipei-based news website ettoday.net said. Eight Chinese military planes had entered Taiwan's air defence zone on October 31, bringing the Chinese aircraft activity tally in October to 196, the report stated. China has reportedly sent over 680 aircraft into Taiwan's air defence zone so far this year. "
UN accuses Congo army of beating human rights activist to death,"The United Nations has accused the Democratic Republic of Congo's army of killing a human rights activist protesting illegal taxes. Cabral Yombo was beaten to death by soldiers operating on the alleged orders of local administrative officials, the UN Joint Human Rights Office (UNJHRO) said. The UNJHRO has called on the judicial authorities to open an investigation into the killing. ",world,"UN accuses Congo army of beating human rights activist to death. The United Nations has accused the Democratic Republic of Congo's army of killing a human rights activist protesting illegal taxes. Cabral Yombo was beaten to death by soldiers operating on the alleged orders of local administrative officials, the UN Joint Human Rights Office (UNJHRO) said. The UNJHRO has called on the judicial authorities to open an investigation into the killing. "
Time for words has now moved to time for action: UK Queen to COP26 leaders,"UK's Queen Elizabeth II urged world leaders at the UN climate summit, COP26, to ""achieve true statesmanship"" and create a ""safer, stabler future"" for the planet. ""The time for words has now moved to the time for action,"" she said in a video message. The Queen also urged the world leaders to ""rise above the politics of the moment"".",world,"Time for words has now moved to time for action: UK Queen to COP26 leaders. UK's Queen Elizabeth II urged world leaders at the UN climate summit, COP26, to ""achieve true statesmanship"" and create a ""safer, stabler future"" for the planet. ""The time for words has now moved to the time for action,"" she said in a video message. The Queen also urged the world leaders to ""rise above the politics of the moment""."
Chaman-Spin Boldak border crossing reopens after Pak-Taliban talks,"Pakistan's Ambassador to Kabul, Mansoor Ahmad Khan, on Tuesday said that the Chaman-Spin Boldak crossing between Pakistan and Afghanistan has now been reopened for pedestrians and trade. The reopening comes following successful talks between the Pakistan authorities and the Taliban, he added. The Taliban had closed the border crossing for commuters and trade in early October. ",world,"Chaman-Spin Boldak border crossing reopens after Pak-Taliban talks. Pakistan's Ambassador to Kabul, Mansoor Ahmad Khan, on Tuesday said that the Chaman-Spin Boldak crossing between Pakistan and Afghanistan has now been reopened for pedestrians and trade. The reopening comes following successful talks between the Pakistan authorities and the Taliban, he added. The Taliban had closed the border crossing for commuters and trade in early October. "
92 illegal migrants rescued off Libyan coast: UN refugee agency,"The United Nations High Commissioner for Refugees (UNHCR) said that it has rescued 92 illegal migrants off the Libyan coast. The migrants, including four women and three children, were provided medical aid, food and water, and have been returned to Libya, it added. ""Nearly 28,000 persons were  returned this year to Libya by coastal security,"" the agency further said. ",world,"92 illegal migrants rescued off Libyan coast: UN refugee agency. The United Nations High Commissioner for Refugees (UNHCR) said that it has rescued 92 illegal migrants off the Libyan coast. The migrants, including four women and three children, were provided medical aid, food and water, and have been returned to Libya, it added. ""Nearly 28,000 persons were  returned this year to Libya by coastal security,"" the agency further said. "
